scenario,scenario_label,city,name_en,climate_zone,province,grid_region,ef_tco2_mwh,carbon_uplift_cny_kwh,elec_price_base,elec_price_eff,d1_ghi_annual,d1_ghi_cv,d2_roof_area,d2_density,d3_specific_yield,d3_shading,d4_lcoe,d4_pbt,d4_npv,d4_npv_positive,d5_pbt_ci_width,d5_lcoe_std,d5_prob_pbt_le15,pv_cost_mode,pv_cost_left,carbon_price,subsidy
baseline,Baseline (2024),beijing,Beijing,,北京,华北,0.8843,0.0,0.4883,0.4883,1578.1,0.2987,905.0,0.0082,1357.9,0.998,0.2049,4.74,4680.0,True,2.37,0.0222,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),changchun,Changchun,,吉林,东北,0.8437,0.0,0.52,0.52,1525.0,0.3669,809.1,0.0679,1343.9,0.983,0.207,4.49,5115.0,True,2.24,0.0224,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),changsha,Changsha,,湖南,华中,0.5257,0.0,0.588,0.588,1378.5,0.2649,835.5,0.0063,1162.1,0.999,0.2394,4.59,4926.0,True,2.3,0.0259,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),chengdu,Chengdu,,四川,华中,0.5257,0.0,0.502,0.502,1292.4,0.3653,718.8,0.0734,1094.0,0.769,0.2543,5.78,3295.0,True,2.93,0.0275,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),chongqing,Chongqing,,重庆,华中,0.5257,0.0,0.522,0.522,1122.9,0.4616,807.5,0.0654,948.1,0.704,0.2935,6.45,2635.0,True,3.3,0.0318,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),dalian,Dalian,,辽宁,东北,0.8437,0.0,0.5,0.5,1615.7,0.3222,660.0,0.011,1394.8,0.792,0.1995,4.5,5098.0,True,2.25,0.0216,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),fuzhou,Fuzhou,,福建,华东,0.7035,0.0,0.618,0.618,1402.1,0.3183,544.8,0.0335,1182.2,0.687,0.2353,4.28,5501.0,True,2.13,0.0255,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),guangzhou,Guangzhou,,广东,南方,0.4267,0.0,0.68,0.68,1502.2,0.2149,991.5,0.0144,1251.8,0.986,0.2223,3.65,6968.0,True,1.81,0.0241,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),guiyang,Guiyang,,贵州,南方,0.4267,0.0,0.468,0.468,1193.9,0.4029,1601.7,0.0206,1020.1,0.812,0.2727,6.71,2422.0,True,3.43,0.0295,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),haikou,Haikou,,海南,南方,0.4267,0.0,0.598,0.598,1728.6,0.232,1147.6,0.01,1428.0,0.739,0.1948,3.64,7001.0,True,1.8,0.0211,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),hangzhou,Hangzhou,,浙江,华东,0.7035,0.0,0.538,0.538,1277.6,0.2617,919.6,0.0422,1084.3,0.858,0.2566,5.42,3711.0,True,2.74,0.0278,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),harbin,Harbin,,黑龙江,东北,0.8437,0.0,0.51,0.51,1424.3,0.3702,1513.3,0.052,1259.4,0.998,0.2209,4.9,4428.0,True,2.46,0.0239,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),hefei,Hefei,,安徽,华东,0.7035,0.0,0.561,0.561,1460.8,0.3008,1010.9,0.0276,1240.4,0.796,0.2243,4.51,5079.0,True,2.25,0.0243,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),hohhot,Hohhot,,内蒙古,华北,0.8843,0.0,0.496,0.496,1685.8,0.3364,1192.2,0.019,1476.1,0.85,0.1885,4.27,5520.0,True,2.13,0.0204,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),jinan,Jinan,,山东,华北,0.8843,0.0,0.547,0.547,1588.8,0.306,805.1,0.0415,1362.3,0.999,0.2042,4.19,5679.0,True,2.09,0.0221,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),kunming,Kunming,,云南,南方,0.4267,0.0,0.45,0.45,1650.2,0.2568,758.3,0.0072,1405.1,0.984,0.198,4.98,4306.0,True,2.5,0.0214,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),lanzhou,Lanzhou,,甘肃,西北,0.6671,0.0,0.476,0.476,1755.9,0.2728,903.7,0.043,1530.2,0.836,0.1818,4.3,5474.0,True,2.14,0.0197,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),lhasa,Lhasa,,西藏,西藏,0.12,0.0,0.368,0.368,2131.7,0.1959,672.7,0.0461,1895.2,0.772,0.1468,4.49,5098.0,True,2.25,0.0159,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),nanchang,Nanchang,,江西,华中,0.5257,0.0,0.6,0.6,1490.7,0.2862,752.4,0.0304,1256.5,0.809,0.2214,4.14,5785.0,True,2.06,0.024,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),nanjing,Nanjing,,江苏,华东,0.7035,0.0,0.558,0.558,1456.1,0.2432,684.6,0.0295,1238.9,0.999,0.2246,4.54,5024.0,True,2.27,0.0243,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),nanning,Nanning,,广西,南方,0.4267,0.0,0.618,0.618,1417.5,0.2508,1054.2,0.0303,1181.0,0.804,0.2356,4.29,5492.0,True,2.14,0.0255,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),ningbo,Ningbo,,浙江,华东,0.7035,0.0,0.538,0.538,1425.1,0.3121,600.1,0.0079,1207.9,0.784,0.2303,4.84,4519.0,True,2.43,0.0249,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),qingdao,Qingdao,,山东,华北,0.8843,0.0,0.547,0.547,1678.7,0.3032,555.7,0.0653,1440.7,0.736,0.1931,3.96,6200.0,True,1.96,0.0209,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),shanghai,Shanghai,,上海,华东,0.7035,0.0,0.617,0.617,1497.4,0.2861,688.8,0.1009,1270.7,0.806,0.219,3.98,6151.0,True,1.98,0.0237,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),shenyang,Shenyang,,辽宁,东北,0.8437,0.0,0.53,0.53,1523.1,0.3476,1236.5,0.0632,1326.1,0.862,0.2098,4.46,5164.0,True,2.23,0.0227,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),shenzhen,Shenzhen,,广东,南方,0.4267,0.0,0.68,0.68,1560.9,0.2102,490.4,0.0432,1298.9,0.983,0.2142,3.52,7358.0,True,1.74,0.0232,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),shijiazhuang,Shijiazhuang,,河北,华北,0.8843,0.0,0.511,0.511,1644.5,0.3237,1654.7,0.0281,1409.6,0.876,0.1974,4.35,5376.0,True,2.17,0.0214,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),suzhou,Suzhou,,江苏,华东,0.7035,0.0,0.558,0.558,1388.3,0.2724,402.2,0.0702,1179.0,0.693,0.236,4.78,4617.0,True,2.39,0.0256,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),taiyuan,Taiyuan,,山西,华北,0.8843,0.0,0.452,0.452,1564.4,0.2789,723.5,0.0286,1357.1,0.8,0.205,5.14,4076.0,True,2.59,0.0222,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),tangshan,Tangshan,,河北,华北,0.8843,0.0,0.511,0.511,1575.3,0.3188,770.2,0.0718,1358.8,0.846,0.2048,4.52,5061.0,True,2.26,0.0222,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),tianjin,Tianjin,,天津,华北,0.8843,0.0,0.49,0.49,1606.1,0.2999,884.1,0.0409,1379.5,0.792,0.2017,4.64,4837.0,True,2.32,0.0218,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),urumqi,Urumqi,,新疆,西北,0.6671,0.0,0.4,0.4,1658.3,0.3993,872.5,0.0668,1451.5,0.696,0.1917,5.45,3677.0,True,2.75,0.0208,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),wuhan,Wuhan,,湖北,华中,0.5257,0.0,0.558,0.558,1503.8,0.314,639.2,0.0173,1269.4,0.997,0.2192,4.42,5231.0,True,2.21,0.0237,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),wuxi,Wuxi,,江苏,华东,0.7035,0.0,0.558,0.558,1530.3,0.2577,960.0,0.0284,1296.2,0.805,0.2146,4.33,5412.0,True,2.16,0.0232,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),xiamen,Xiamen,,福建,华东,0.7035,0.0,0.618,0.618,1661.1,0.2186,504.6,0.0069,1385.1,0.996,0.2009,3.63,7026.0,True,1.8,0.0217,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),xian,Xian,,陕西,西北,0.6671,0.0,0.498,0.498,1581.6,0.3244,944.8,0.1398,1352.7,0.999,0.2057,4.66,4809.0,True,2.33,0.0223,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),xining,Xining,,青海,西北,0.6671,0.0,0.388,0.388,1754.8,0.2585,1051.4,0.0361,1542.9,0.851,0.1803,5.28,3897.0,True,2.66,0.0195,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),yinchuan,Yinchuan,,宁夏,西北,0.6671,0.0,0.44,0.44,1779.1,0.3145,1391.3,0.0321,1543.4,0.88,0.1803,4.62,4875.0,True,2.31,0.0195,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),zhengzhou,Zhengzhou,,河南,华中,0.5257,0.0,0.56,0.56,1573.4,0.3407,872.2,0.049,1340.2,0.819,0.2076,4.16,5744.0,True,2.07,0.0225,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),hongkong,Hongkong,,香港特别行政区,香港,0.7,0.0,1.2,1.2,1648.5,0.1931,361.6,0.1574,1372.0,0.709,0.2028,1.86,16639.0,True,0.9,0.022,1.0,3.0,2.5,0,0.0
baseline,Baseline (2024),taipei,Taipei,,台湾,台湾,0.5,0.0,0.62,0.62,1401.1,0.3528,251.0,0.1641,1173.7,0.799,0.237,4.3,5466.0,True,2.14,0.0257,1.0,3.0,2.5,0,0.0
cost_reduction,PV Cost −50% (2030),beijing,Beijing,,北京,华北,0.8843,0.0,0.4883,0.4883,1578.1,0.2987,905.0,0.0082,1357.9,0.998,0.1024,2.31,6372.0,True,1.18,0.0117,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),changchun,Changchun,,吉林,东北,0.8437,0.0,0.52,0.52,1525.0,0.3669,809.1,0.0679,1343.9,0.983,0.1035,2.19,6807.0,True,1.11,0.0118,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),changsha,Changsha,,湖南,华中,0.5257,0.0,0.588,0.588,1378.5,0.2649,835.5,0.0063,1162.1,0.999,0.1197,2.24,6618.0,True,1.14,0.0137,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),chengdu,Chengdu,,四川,华中,0.5257,0.0,0.502,0.502,1292.4,0.3653,718.8,0.0734,1094.0,0.769,0.1272,2.81,4987.0,True,1.44,0.0145,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),chongqing,Chongqing,,重庆,华中,0.5257,0.0,0.522,0.522,1122.9,0.4616,807.5,0.0654,948.1,0.704,0.1467,3.13,4327.0,True,1.61,0.0167,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),dalian,Dalian,,辽宁,东北,0.8437,0.0,0.5,0.5,1615.7,0.3222,660.0,0.011,1394.8,0.792,0.0997,2.2,6789.0,True,1.12,0.0114,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),fuzhou,Fuzhou,,福建,华东,0.7035,0.0,0.618,0.618,1402.1,0.3183,544.8,0.0335,1182.2,0.687,0.1177,2.1,7193.0,True,1.06,0.0134,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),guangzhou,Guangzhou,,广东,南方,0.4267,0.0,0.68,0.68,1502.2,0.2149,991.5,0.0144,1251.8,0.986,0.1111,1.79,8660.0,True,0.91,0.0127,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),guiyang,Guiyang,,贵州,南方,0.4267,0.0,0.468,0.468,1193.9,0.4029,1601.7,0.0206,1020.1,0.812,0.1364,3.24,4114.0,True,1.67,0.0156,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),haikou,Haikou,,海南,南方,0.4267,0.0,0.598,0.598,1728.6,0.232,1147.6,0.01,1428.0,0.739,0.0974,1.79,8693.0,True,0.9,0.0111,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),hangzhou,Hangzhou,,浙江,华东,0.7035,0.0,0.538,0.538,1277.6,0.2617,919.6,0.0422,1084.3,0.858,0.1283,2.64,5402.0,True,1.35,0.0146,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),harbin,Harbin,,黑龙江,东北,0.8437,0.0,0.51,0.51,1424.3,0.3702,1513.3,0.052,1259.4,0.998,0.1105,2.39,6119.0,True,1.22,0.0126,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),hefei,Hefei,,安徽,华东,0.7035,0.0,0.561,0.561,1460.8,0.3008,1010.9,0.0276,1240.4,0.796,0.1122,2.2,6771.0,True,1.12,0.0128,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),hohhot,Hohhot,,内蒙古,华北,0.8843,0.0,0.496,0.496,1685.8,0.3364,1192.2,0.019,1476.1,0.85,0.0942,2.09,7212.0,True,1.06,0.0108,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),jinan,Jinan,,山东,华北,0.8843,0.0,0.547,0.547,1588.8,0.306,805.1,0.0415,1362.3,0.999,0.1021,2.05,7370.0,True,1.04,0.0116,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),kunming,Kunming,,云南,南方,0.4267,0.0,0.45,0.45,1650.2,0.2568,758.3,0.0072,1405.1,0.984,0.099,2.43,5998.0,True,1.24,0.0113,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),lanzhou,Lanzhou,,甘肃,西北,0.6671,0.0,0.476,0.476,1755.9,0.2728,903.7,0.043,1530.2,0.836,0.0909,2.1,7166.0,True,1.07,0.0104,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),lhasa,Lhasa,,西藏,西藏,0.12,0.0,0.368,0.368,2131.7,0.1959,672.7,0.0461,1895.2,0.772,0.0734,2.2,6790.0,True,1.12,0.0084,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),nanchang,Nanchang,,江西,华中,0.5257,0.0,0.6,0.6,1490.7,0.2862,752.4,0.0304,1256.5,0.809,0.1107,2.03,7477.0,True,1.03,0.0126,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),nanjing,Nanjing,,江苏,华东,0.7035,0.0,0.558,0.558,1456.1,0.2432,684.6,0.0295,1238.9,0.999,0.1123,2.22,6715.0,True,1.13,0.0128,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),nanning,Nanning,,广西,南方,0.4267,0.0,0.618,0.618,1417.5,0.2508,1054.2,0.0303,1181.0,0.804,0.1178,2.1,7184.0,True,1.07,0.0134,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),ningbo,Ningbo,,浙江,华东,0.7035,0.0,0.538,0.538,1425.1,0.3121,600.1,0.0079,1207.9,0.784,0.1152,2.36,6211.0,True,1.2,0.0131,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),qingdao,Qingdao,,山东,华北,0.8843,0.0,0.547,0.547,1678.7,0.3032,555.7,0.0653,1440.7,0.736,0.0966,1.94,7892.0,True,0.98,0.011,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),shanghai,Shanghai,,上海,华东,0.7035,0.0,0.617,0.617,1497.4,0.2861,688.8,0.1009,1270.7,0.806,0.1095,1.95,7843.0,True,0.99,0.0125,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),shenyang,Shenyang,,辽宁,东北,0.8437,0.0,0.53,0.53,1523.1,0.3476,1236.5,0.0632,1326.1,0.862,0.1049,2.18,6855.0,True,1.11,0.012,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),shenzhen,Shenzhen,,广东,南方,0.4267,0.0,0.68,0.68,1560.9,0.2102,490.4,0.0432,1298.9,0.983,0.1071,1.73,9050.0,True,0.87,0.0122,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),shijiazhuang,Shijiazhuang,,河北,华北,0.8843,0.0,0.511,0.511,1644.5,0.3237,1654.7,0.0281,1409.6,0.876,0.0987,2.13,7068.0,True,1.08,0.0113,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),suzhou,Suzhou,,江苏,华东,0.7035,0.0,0.558,0.558,1388.3,0.2724,402.2,0.0702,1179.0,0.693,0.118,2.33,6309.0,True,1.19,0.0135,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),taiyuan,Taiyuan,,山西,华北,0.8843,0.0,0.452,0.452,1564.4,0.2789,723.5,0.0286,1357.1,0.8,0.1025,2.51,5768.0,True,1.28,0.0117,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),tangshan,Tangshan,,河北,华北,0.8843,0.0,0.511,0.511,1575.3,0.3188,770.2,0.0718,1358.8,0.846,0.1024,2.21,6752.0,True,1.12,0.0117,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),tianjin,Tianjin,,天津,华北,0.8843,0.0,0.49,0.49,1606.1,0.2999,884.1,0.0409,1379.5,0.792,0.1008,2.27,6529.0,True,1.15,0.0115,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),urumqi,Urumqi,,新疆,西北,0.6671,0.0,0.4,0.4,1658.3,0.3993,872.5,0.0668,1451.5,0.696,0.0958,2.65,5369.0,True,1.35,0.0109,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),wuhan,Wuhan,,湖北,华中,0.5257,0.0,0.558,0.558,1503.8,0.314,639.2,0.0173,1269.4,0.997,0.1096,2.16,6922.0,True,1.1,0.0125,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),wuxi,Wuxi,,江苏,华东,0.7035,0.0,0.558,0.558,1530.3,0.2577,960.0,0.0284,1296.2,0.805,0.1073,2.12,7104.0,True,1.08,0.0122,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),xiamen,Xiamen,,福建,华东,0.7035,0.0,0.618,0.618,1661.1,0.2186,504.6,0.0069,1385.1,0.996,0.1004,1.78,8718.0,True,0.9,0.0115,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),xian,Xian,,陕西,西北,0.6671,0.0,0.498,0.498,1581.6,0.3244,944.8,0.1398,1352.7,0.999,0.1028,2.28,6501.0,True,1.16,0.0117,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),xining,Xining,,青海,西北,0.6671,0.0,0.388,0.388,1754.8,0.2585,1051.4,0.0361,1542.9,0.851,0.0902,2.57,5588.0,True,1.31,0.0103,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),yinchuan,Yinchuan,,宁夏,西北,0.6671,0.0,0.44,0.44,1779.1,0.3145,1391.3,0.0321,1543.4,0.88,0.0901,2.26,6567.0,True,1.15,0.0103,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),zhengzhou,Zhengzhou,,河南,华中,0.5257,0.0,0.56,0.56,1573.4,0.3407,872.2,0.049,1340.2,0.819,0.1038,2.04,7435.0,True,1.03,0.0118,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),hongkong,Hongkong,,香港特别行政区,香港,0.7,0.0,1.2,1.2,1648.5,0.1931,361.6,0.1574,1372.0,0.709,0.1014,0.92,18330.0,True,0.46,0.0116,1.0,1.5,1.2,0,0.0
cost_reduction,PV Cost −50% (2030),taipei,Taipei,,台湾,台湾,0.5,0.0,0.62,0.62,1401.1,0.3528,251.0,0.1641,1173.7,0.799,0.1185,2.1,7158.0,True,1.07,0.0135,1.0,1.5,1.2,0,0.0
carbon_pricing,Carbon Price 100 CNY/tCO₂,beijing,Beijing,,北京,华北,0.8843,0.0884,0.4883,0.5767,1578.1,0.2987,905.0,0.0082,1357.9,0.998,0.2049,3.98,6140.0,True,1.98,0.0222,1.0,3.0,2.5,100,0.0
carbon_pricing,Carbon Price 100 CNY/tCO₂,changchun,Changchun,,吉林,东北,0.8437,0.0844,0.52,0.6044,1525.0,0.3669,809.1,0.0679,1343.9,0.983,0.207,3.84,6494.0,True,1.9,0.0224,1.0,3.0,2.5,100,0.0
